Item,10 Wins,10-0 Run,Win at Diamond,Win with Enchanted,Win with Another Hero,Hero,Size,Column 12,Column 1,Column 13,Column 2,Column 3
Shadowed Cloak,TRUE,FALSE,FALSE,TRUE,TRUE,Common,Medium,(The Bazaar) 500 Base Shield Forcefield - YouTube,,,,
Sharpening Stone,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Singularity,TRUE,FALSE,TRUE,TRUE,TRUE,Common,Small,,,,,
Snowflake,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Soul of the District,TRUE,FALSE,TRUE,FALSE,TRUE,Common,Medium,,,,,
Spare Change,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Spiked Buckler,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Spirit Diffuser,TRUE,FALSE,TRUE,FALSE,TRUE,Common,Large,"(The Bazaar) Enemy Enchanted Item Detected, Release The Boulder - YouTube",,,,
Stinger,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Sunderer,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Super Syrup,TRUE,FALSE,TRUE,TRUE,TRUE,Common,Medium,,,,,
Sword of Swords,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Teddy,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Temple Expedition Ticket,TRUE,FALSE,TRUE,TRUE,TRUE,Common,Small,,,,,
Temporary Shelter,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Large,,,,,
The Eclipse,TRUE,FALSE,TRUE,TRUE,TRUE,Common,Large,,,,,
Thieves Guild Medallion,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Tommoo Gun,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Tourist Chariot,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Large,,,,,
Trained Spider,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Truffles,TRUE,FALSE,TRUE,FALSE,TRUE,Common,Small,,,,,
Upgrade Hammer,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Vial of Blood,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Void Ray,TRUE,FALSE,TRUE,TRUE,FALSE,Common,Medium,,,,,
Void Shield,TRUE,FALSE,TRUE,FALSE,TRUE,Common,Medium,(The Bazaar) Dooley Steals The Secret Formula - YouTube,,,,
Wand,TRUE,TRUE,TRUE,TRUE,TRUE,Common,Small,,,,,
Yellow Gumball,TRUE,TRUE,FALSE,FALSE,TRUE,Common,Small,,,,,
Zoot Flute,TRUE,FALSE,FALSE,TRUE,TRUE,Common,Medium,"(The Bazaar) It's Been 4.7 Seconds, Get In The Press - YouTube",,,,
Admiral's Badge,TRUE,FALSE,TRUE,TRUE,TRUE,Common,Small,,,,,
Hands of Time,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Tantius Carrier,TRUE,TRUE,TRUE,FALSE,TRUE,Common,Large,,,,,
Mysterious Gift,TRUE,FALSE,TRUE,TRUE,TRUE,Common,Medium,,,,,
Moon Orb,TRUE,FALSE,TRUE,FALSE,TRUE,Common,Small,,,,,
3D Printer,TRUE,FALSE,TRUE,TRUE,TRUE,Dooley,Large,(The Bazaar) 4 Crude Tools = 1s Weapon Core... wait what is he doing - YouTube,,,,
Alpha Ray,TRUE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Angry Balloon Bot,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Antimatter Chamber,TRUE,FALSE,TRUE,FALSE,FALSE,Dooley,Large,,,,,
Arc Blaster,TRUE,FALSE,FALSE,TRUE,FALSE,Dooley,Small,,,,,
Armored Core,TRUE,TRUE,TRUE,TRUE,FALSE,Dooley,Medium,,,,,
Atomic Clock,TRUE,FALSE,FALSE,FALSE,TRUE,Dooley,Medium,(The Bazaar) Mandatory Monthly Long John Video - YouTube,,,,
Balloon Bot,TRUE,TRUE,FALSE,TRUE,FALSE,Dooley,Medium,,,,,
Barbed Wire,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Battery,TRUE,FALSE,TRUE,FALSE,TRUE,Dooley,Small,"(The Bazaar) OK OK Let's Hammlet This Guy, Lets Beat Him With Hammlet - YouTube",(The Bazaar) Nitrogen Hammer At Home - YouTube,(The Bazaar) 2 Hammlets 1 Hammer - YouTube,"(The Bazaar) It's Been 4.7 Seconds, Get In The Press - YouTube",
Bellelista,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Beta Ray,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Small,,,,,
Bill Dozer,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Large,,,,,
Blast Doors,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
BLK-SP1D3R,TRUE,TRUE,TRUE,TRUE,TRUE,Dooley,Small,(The Bazaar) Match Boxing With The Reworked Legendary - YouTube,,,,
BLU-B33TL3,TRUE,FALSE,TRUE,FALSE,FALSE,Dooley,Small,(The Bazaar) Nitrogen Hammer At Home - YouTube,,,,
Bomb Squad,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Brick Buddy,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Bunker,TRUE,TRUE,TRUE,TRUE,TRUE,Dooley,Large,(The Bazaar) 500 Base Shield Forcefield - YouTube,(The Bazaar) Silking My Hog Thrice A Day - YouTube,,,
Capacitor,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Small,,,,,
Char Cole,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Charging Station,TRUE,FALSE,TRUE,FALSE,FALSE,Dooley,Medium,,,,,
Chemsnail,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Medium,,,,,
Chris Army Knife,TRUE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Chronobarrier,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Medium,,,,,
Claw Arm,TRUE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Clawrence,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Cog,TRUE,TRUE,FALSE,TRUE,TRUE,Dooley,Small,,,,,
Combat Core,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Large,,,,,
Companion Core,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Medium,(The Bazaar) Dooley Steals The Secret Formula - YouTube,(The Bazaar) I LOVE MY FRIENDS :D - YouTube,,,
Cool LEDs,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Coolant,TRUE,FALSE,TRUE,FALSE,FALSE,Dooley,Small,(The Bazaar) Nitrogen Hammer At Home - YouTube,(The Bazaar) 2 Hammlets 1 Hammer - YouTube,,,
Cooling Fan,TRUE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Copper Ed,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Crane,TRUE,FALSE,TRUE,TRUE,TRUE,Dooley,Large,(The Bazaar) Radiant Crane Can't Be Stopped - YouTube,,,,
Critical Core,TRUE,TRUE,TRUE,TRUE,TRUE,Dooley,Medium,"(The Bazaar) OK OK Let's Hammlet This Guy, Lets Beat Him With Hammlet - YouTube",,,,
Crude Tools,TRUE,FALSE,TRUE,FALSE,TRUE,Dooley,Small,(The Bazaar) 4 Crude Tools = 1s Weapon Core... wait what is he doing - YouTube,(The Bazaar) Dooley Steals The Secret Formula - YouTube,(The Bazaar) 500 Base Shield Forcefield - YouTube,(The Bazaar) I LOVE MY FRIENDS :D - YouTube,(The Bazaar) Radiant Crane Can't Be Stopped - YouTube
Cryosphere,TRUE,FALSE,FALSE,TRUE,FALSE,Dooley,Medium,(The Bazaar) 2 Hammlets 1 Hammer - YouTube,,,,
Crypto,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Cybersecurity,TRUE,TRUE,FALSE,TRUE,TRUE,Dooley,Medium,,,,,
Defense Matrix,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Diana-Saur,TRUE,TRUE,FALSE,TRUE,FALSE,Dooley,Medium,,,,,
Dino Disguise,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Dino Saddle,TRUE,FALSE,TRUE,FALSE,TRUE,Dooley,Medium,(The Bazaar) I'm Sorry Clawrence... - YouTube,(The Bazaar) 2 Hammlets 1 Hammer - YouTube,(The Bazaar) Driving In My Dragon Heart Core,(The Bazaar) Radiant Crane Can't Be Stopped - YouTube,
Dinosawer,TRUE,TRUE,FALSE,TRUE,FALSE,Dooley,Small,,,,,
DJ Circuit Breaker,TRUE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,(The Bazaar) I LOVE MY FRIENDS :D - YouTube,,,,
Dooley's Scarf,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Dooltron,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Large,,,,,
Dooltron Mainframe,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Medium,,,,,
Duct Tape,TRUE,TRUE,FALSE,TRUE,TRUE,Dooley,Small,,,,,
Fiber Optics,TRUE,TRUE,TRUE,TRUE,TRUE,Dooley,Small,(The Bazaar) I'm Sorry Clawrence... - YouTube,(The Bazaar) Driving In My Dragon Heart Core,,,
First Aiden,TRUE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,(The Bazaar) I'm Sorry Clawrence... - YouTube,,,,
Flamethrower,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Flint Stones,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Force Field,TRUE,FALSE,FALSE,TRUE,TRUE,Dooley,Large,(The Bazaar) I'm Sorry Clawrence... - YouTube,(The Bazaar) Pygdooley - YouTube,(The Bazaar) 500 Base Shield Forcefield - YouTube,,
Forklift,TRUE,FALSE,TRUE,TRUE,TRUE,Dooley,Large,,,,,
Gamma Ray,TRUE,FALSE,FALSE,TRUE,FALSE,Dooley,Small,,,,,
Gearnola Bar,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
GPU,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
GRN-W4SP,TRUE,FALSE,FALSE,TRUE,FALSE,Dooley,Small,(The Bazaar) Nitrogen Hammer At Home - YouTube,,,,
Hacksaw,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Hammlet,TRUE,FALSE,FALSE,TRUE,TRUE,Dooley,Small,"(The Bazaar) OK OK Let's Hammlet This Guy, Lets Beat Him With Hammlet - YouTube",,,,
Harmadillo,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Hologram Projector,TRUE,TRUE,TRUE,FALSE,FALSE,Dooley,Small,(The Bazaar) I LOVE MY FRIENDS :D - YouTube,,,,
Hydraulic Press,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Large,"(The Bazaar) It's Been 4.7 Seconds, Get In The Press - YouTube",,,,
Ice 9000,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Ignition Core,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Medium,(The Bazaar) Driving In My Dragon Heart Core,,,,
Induction Aegis,TRUE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Isochoric Freezer,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Kinetic Cannon,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Large,,,,,
Laser Pistol,TRUE,FALSE,FALSE,TRUE,TRUE,Dooley,Small,,,,,
Lens,TRUE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Lightbulb,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Small,,,,,
Mech-Moles,TRUE,FALSE,TRUE,FALSE,FALSE,Dooley,Medium,,,,,
Memory Card,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Metronome,TRUE,FALSE,FALSE,TRUE,TRUE,Dooley,Small,(The Bazaar) Spending An Hour Bullying Money Furnace - YouTube,(The Bazaar) Unnerfed Power Drill... I missed you - YouTube,,,
Micro Dave,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Miss Isles,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Medium,,,,,
Momma-Saur,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Large,,,,,
Monitor Lizard,TRUE,TRUE,TRUE,TRUE,TRUE,Dooley,Medium,(The Bazaar) I LOVE MY FRIENDS :D - YouTube,,,,
Motherboard,TRUE,FALSE,FALSE,TRUE,FALSE,Dooley,Medium,,,,,
Nitro,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Small,,,,,
Nitrogen Hammer,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Medium,(The Bazaar) 2 Hammlets 1 Hammer - YouTube,,,,
Omega Ray,TRUE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Pierre Conditioner,TRUE,FALSE,TRUE,FALSE,FALSE,Dooley,Medium,,,,,
Plasma Grenade,TRUE,FALSE,TRUE,TRUE,TRUE,Dooley,Small,"(The Bazaar) OK OK Let's Hammlet This Guy, Lets Beat Him With Hammlet - YouTube",(The Bazaar) Nitrogen Hammer At Home - YouTube,,,
Plasma Rifle,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Power Drill,TRUE,FALSE,TRUE,TRUE,TRUE,Dooley,Medium,"(The Bazaar) OK OK Let's Hammlet This Guy, Lets Beat Him With Hammlet - YouTube",(The Bazaar) Nitrogen Hammer At Home - YouTube,(The Bazaar) Unnerfed Power Drill... I missed you - YouTube,,
Power Sander,TRUE,TRUE,FALSE,FALSE,TRUE,Dooley,Small,,,,,
Primal Core,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Pulse Rifle,TRUE,TRUE,FALSE,TRUE,FALSE,Dooley,Medium,,,,,
Pylon,TRUE,FALSE,FALSE,FALSE,FALSE,Dooley,Large,,,,,
Pyrocarbon,TRUE,TRUE,FALSE,TRUE,FALSE,Dooley,Medium,,,,,
Race Carl,TRUE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,(The Bazaar) I LOVE MY FRIENDS :D - YouTube,,,,
Railgun,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Large,,,,,
Red Button,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
RED-F1R3FLY,TRUE,FALSE,TRUE,TRUE,TRUE,Dooley,Small,(The Bazaar) Nitrogen Hammer At Home - YouTube,(The Bazaar) Dooley Steals The Secret Formula - YouTube,,,
Remote Control,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Small,"(The Bazaar) It's Been 4.7 Seconds, Get In The Press - YouTube",,,,
Rex Spex,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Large,,,,,
Robotic Factory,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Large,,,,,
Rocket Launcher,TRUE,FALSE,FALSE,TRUE,FALSE,Dooley,Medium,(The Bazaar) Unnerfed Power Drill... I missed you - YouTube,,,,
Sat-Comm,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Schematics,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Scrap Metal,TRUE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Security Camera,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Solar Farm,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Large,,,,,
Soldering Gun,TRUE,TRUE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Tanky Anky,TRUE,FALSE,TRUE,FALSE,FALSE,Dooley,Large,,,,,
Temporal Navigator,TRUE,FALSE,FALSE,TRUE,TRUE,Dooley,Medium,(The Bazaar) One Shot One Krill - YouTube,(The Bazaar) Radiant Crane Can't Be Stopped - YouTube,,,
Tesla Coil,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
The Core,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Medium,,,,,
Thermal Lance,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Thrusters,TRUE,TRUE,TRUE,TRUE,TRUE,Dooley,Small,(The Bazaar) I'm Sorry Clawrence... - YouTube,(The Bazaar) 2 Hammlets 1 Hammer - YouTube,"(The Bazaar) It's Been 4.7 Seconds, Get In The Press - YouTube",(The Bazaar) Unnerfed Power Drill... I missed you - YouTube,(The Bazaar) Driving In My Dragon Heart Core
Trollosaur,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Medium,,,,,
Uzi,TRUE,TRUE,FALSE,TRUE,TRUE,Dooley,Small,"(The Bazaar) It's Been 4.7 Seconds, Get In The Press - YouTube",(The Bazaar) Shots And Shurikens - YouTube,,,
Virus,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Small,,,,,
Wallace,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Walter Cooler,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Weakpoint Detector,TRUE,FALSE,TRUE,TRUE,TRUE,Dooley,Medium,"(The Bazaar) OK OK Let's Hammlet This Guy, Lets Beat Him With Hammlet - YouTube",(The Bazaar) Shots And Shurikens - YouTube,,,
Weaponized Core,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Medium,(The Bazaar) 4 Crude Tools = 1s Weapon Core... wait what is he doing - YouTube,,,,
Welding Helmet,TRUE,TRUE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Welding Torch,TRUE,FALSE,TRUE,TRUE,FALSE,Dooley,Medium,,,,,
YLW-M4NT1S,TRUE,TRUE,FALSE,FALSE,FALSE,Dooley,Small,(The Bazaar) Nitrogen Hammer At Home - YouTube,(The Bazaar) Driving In My Dragon Heart Core,,,
Z-Shield,TRUE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Z-Sword,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Hover Tech,TRUE,FALSE,TRUE,FALSE,TRUE,Dooley,Medium,,,,,
Launch Pad,TRUE,TRUE,FALSE,TRUE,FALSE,Dooley,Medium,,,,,
Launcher Core,TRUE,TRUE,TRUE,FALSE,FALSE,Dooley,Medium,,,,,
Levitation Pad,TRUE,TRUE,FALSE,TRUE,TRUE,Dooley,Small,,,,,
Party Float,TRUE,FALSE,TRUE,FALSE,FALSE,Dooley,Large,,,,,
Propeller Hat,TRUE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
Radar Module,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Small,,,,,
Terry-Dactyl,TRUE,TRUE,TRUE,FALSE,FALSE,Dooley,Large,,,,,
Unstable Grav Well,FALSE,FALSE,FALSE,FALSE,FALSE,Dooley,Medium,,,,,
